Timestamp,What is your class year?,How many hours do you study per week?,What is your favorite subject?,How often do you visit academic websites?
4/21/2026 12:34:38,Freshmen,2,Economics,Daily
4/21/2026 12:35:27,Junior,8,Math,Weekly
4/21/2026 12:35:48,Freshmen,4,Biology,A few times a week
4/21/2026 12:36:12,Sopomore,5,Economics,Daily
4/21/2026 12:36:35,Senior,10,Data Science,Rarely
4/21/2026 12:37:01,Sopomore,5,Math,A few times a week
4/21/2026 12:37:23,Sopomore,3,Chemistry,Daily
4/21/2026 12:37:39,Senior,10,Math,Rarely
4/21/2026 12:39:15,Junior,4,Biology,Daily
4/21/2026 12:39:41,Sopomore,6,Math,A few times a week
4/21/2026 12:40:47,Sopomore,4,Economics,Weekly
4/21/2026 12:41:08,Junior,6,Economics,Rarely